Surname,First Name,Middle Name,Gender,Birthdate,Birthplace,Purok,Marital Status,Total Household Members,Blood Type,Occupation,Length of Stay,Monthly Income
Pesaras,Nilmar,Aquino,Male,07/01/2002,USA,2,Married,22,A-,Virtual Assistant,45,More Than 100000
Pesaras,Nilmara,Aquino,Male,07/01/2022,USA,2,Married,22,A-,Virtual Assistant,45,More Than 100000
Tapuyao,Chavy,Pangilinan,Male,11/03/2005,Iligan City,5,Married,12,A+,awd,12,20000 To 50000
Pantinople,Nina,Aquino,Male,07/01/2002,USA,2,Married,22,A-,Virtual Assistant,45,More Than 100000
Takus,Carl,Pangilinan,Male,11/03/2012,Iligan City,5,Married,12,A+,awd,12,20000 To 50000
Taguina,Xavier,Pangilinan,Male,11/03/2012,Iligan City,5,Married,12,A+,awd,12,20000 To 50000
Ali,Marhamah,Secuya,Female,11/03/2005,Baloi,5,Married,12,A+,awd,12,20000 To 50000
Mansueto,Araviel,Aquino,Female,07/01/2003,Iligan City,2,Married,22,A-,Virtual Assistant,45,More Than 100000
Raagas,Andrei,Santos,Male,07/01/2002,Lala,2,Married,22,A-,Virtual Assistant,45,More Than 100000
Yusoph,Sittie Hanifa,Dimacaling,Female,08/01/2002,USA,2,Married,22,A-,Virtual Assistant,45,More Than 100000
